Location,Name,Asset Status,Model,Serial Number,Unspc Code,Date of Last Service,Last Service Description,Next Service Description,Next Service Due,
,Navigator Battery #984 (Auto Vent),on,NBN0002-0,ASHS-106763,DUSS,"Jan 30, 2025",2A Service,1A Service,"Jan 30, 2026",
,Navigator Battery #985 (Auto Vent),on,NBN0002-0,ASHS-106774,DUSS,"Jan 27, 2022",New,2A Service,"Jan 26, 2023",
,Navigator Battery #990 (Auto Vent),on,NBN0002-0,ASHS-106829,DUSS,"Jan 27, 0202",New,2A Service,"Jan 26, 2023",
,Navigator Battery (Auto Vent).,on,NBN0002-0,ASHS-106929 ,DUSS,"Jan 27, 2022",New,2A Service,"Jan 26, 2023",
,Navigator Battery #1147 (Auto Vent).,on,NBN0002-0,ARSK-134953,DUSS,"Sep 08, 2023",New,1A Service,"Sep 07, 2024",
,Navigator Sonars,on,,,20-005-3648 (900),,,,,
,P450-45-I #303,on,P450-45-I,303,DUSS,"Feb 04, 2022",1A Sonar Checks.,2A Sonar Service and Checks.,"Feb 04, 2023",
,Navigator Sonar P900-45 #304,,P900-45-I,304,,"Jun 20, 2022",2A Sonar Service and Checks.,1A Sonar Service and Checks.,,
,P900-45 #302,on,P900-45-I,302,DUSS,"Apr 12, 2019",Repair - J3557.,2A Sonar Service and Checks.,"Apr 12, 2021",
,P900E-20 #00226,on,P900E-20,#00226,DUSS,"May 13, 2021",2A Sonar Check and Service,1A Sonar Check and Service,"May 13, 2022",
,P450-45-I #2325,on,P450-45-I,#2325,DUSS,"Sep 15, 2020",2A Sonar Service and Check,1A Sonar Service and Check,"Sep 15, 2021",
,P450-45-I #302,on,P450-45-I,#302,DUSS,"May 12, 2023",1A Sonar Service and Checks.,2A Sonar Checks,"May 12, 2024",
,M450-130 #3884,on,M450-130-S-MKS10,#3884,DUSS,"Jul 11, 2020",2A Sonar Service and Checks.,1A Sonar Service and Checks.,"Jul 11, 2021",
,M450-130 #3846,on,M450-130,#3846,DUSS,"Jan 22, 2019",New,1A Sonar Service and Checks.,"Jan 22, 2020",
,S900/2250-130/45,on,NVSM2130-0,2019012,DUSS,"May 12, 2023",2A Sonar Service and Checks.,1A Sonar Checks.,"May 12, 2024",
,S900/2250-130/45,on,NVSM2130-0,2019014,DUSS,"Aug 13, 2024",2A Sonar Service and Checks.,1A Sonar Service and Checks.,"Aug 14, 2024",
,S900/2250-130/45  S160,on,NVSS2130-0 S Series,4120104,DUSS,"Nov 15, 2024",2A Service,1A Sonar Service and Checks.,"Nov 20, 2025",
,S900/2250-130/45  S168,on,NVSS2130-0 S Series,4120107,DUSS,"Jan 31, 2021",New,1A Sonar Service and Checks.,"Jan 31, 2022",
,S900/2250-130/45,on,NVSS2130-0,5120038,DUSS,"May 31, 2023",1A Sonar Service and Checks.,2A Sonar Service and Checks.,"May 31, 2024",
,S900/2250-130/45,on,NVD2000-S130,0921005,DUSS,"Jan 20, 2022",New,1A Sonar Service and Checks.,"Jan 20, 2023",
,S900/2250-130/45,on,NVD2000-S130,0921006,DUSS,"Jan 24, 2022",New,1A Sonar Service and Checks.,"Jan 24, 2023",
,S900/2250-130/45,on,NVD2000-S130,4420001,DUSS,"Jan 24, 2022",New,1A Sonar Service and Checks.,"Jan 24, 2023",
,S900/2250-130/45,on,NVD2000-S130,5120040,DUSS,"Jan 24, 2022",New,1A Sonar Service and Checks.,"Jan 24, 2023",
,S900/2250-N130/45 MK2 ,on,NV552130-0,0723014,DUSS,"Jan 03, 2024",New,1A Service,"Jan 03, 2025",
,Navigator Cameras,on,,,,,,,,
,Navigator SV-USB Camera #2,on,NCAM2000,SEHA-22442,DUSS,"Sep 15, 2020",2A Camera Service,1A Camera Service,"Sep 15, 2021",
,Navigator SV-USB Camera #4,on,NCAM2000,SEHA-22419,DUSS,"May 12, 2023",1A Camera Service,2A Camera Service,"May 12, 2024",
,Navigator HD Digital Camera #6,on,NCAM3000,HMSU-73695,DUSS,"Jan 27, 2022",1A Camera Service,2A Camera Service,"Jan 27, 2023",
,Navigator HD Digital Camera,on,NCAM3000,HASE-80648,DUSS,"Feb 03, 2020",New,1A Camera Service,"Feb 03, 2021",
,Navigator HD Digital Camera,on,NCAM3000,HMSH-66989,DUSS,"Nov 09, 2023",2A Camera Service,1A Camera Service,"Nov 09, 2024",
,Navigator HD Digital Camera,on,NCAM3000,HMSU-73154,DUSS,"Feb 03, 2020",New,1A Camera Service,"Feb 03, 2021",
,Navigator HD Digital Camera,on,NCAM3000,HASE-80615,DUSS,"Feb 03, 2020",New,1A Camera Service,"Feb 03, 2021",
,Navigator HD Digital Camera,on,NCAM3000,HASE-80693,DUSS,"Feb 03, 2020",New,1A Camera Service,"Feb 03, 2021",
,Navigator HD Digital Camera,on,NCAM3000,HASE-80659,DUSS,"Feb 03, 2020",New,1A Camera Service,"Feb 03, 2021",
,Navigator USB HD Digital Camera,on,NCAM3000,HRHS-94160,DUSS,"Jan 24, 2022",New,1A Camera Service,"Jan 24, 2023",
,Navigator USB HD Digital Camera,on,NCAM3000,HRHS-94272,DUSS,"Jan 24, 2022",New,1A Camera Service,"Jan 24, 2023",
,Navigator USB HD Digital Camera,on,NCAM3000,HRHS-94137,DUSS,"Jan 24, 2022",New,1A Camera Service,"Jan 24, 2023",
,Navigator USB HD Digital Camera,on,NCAM3000,HRHS-94317,DUSS,"Jan 24, 2022",New,1A Camera Service,"Jan 24, 2023",
,Navigator USB HD Digital Camera,on,NAVCAM 3,AHSB-118422,DUSS,"Sep 08, 2023",New,1A Camera Service,"Sep 08, 2024",
,Navigator Floating GPS ,on,GPSS0000-0,,,,,,,
, Floating GPS # SEHA-22554,on,GPSS0000-0,SEHA-22554,DUSS,"Jun 13, 2018",Repair,Scheduled Preventative Maintenance Programme,"Jun 13, 2020",
,Floating GPS # SESE-21755,on,GPSS0000-0,SESE-21755,DUSS,"Nov 12, 2019",Repair,Scheduled Preventative Maintenance Programme,"Jan 12, 2021",
,Floating GPS # SESE-21777,,GPSS0000-0,SESE-21777,,"Nov 12, 2019",Offline,Offline,,
,Floating GPS # HRSE-44299,on,GPSS0000-0,HRSE-44299,DUSS,"Jan 13, 2025",2A Service & Repair,2A Service,"Jan 12, 2027",
,Floating GPS # HRSR-40790,on,GPSS0000-0,HRSR-40790,DUSS,"May 13, 2025",2A Service and Repairs.,2A Service,"Jan 12, 2027",
,Floating GPS # HRSR-40969,on,GPSS0000-0,HRSR-40969,DUSS,"Oct 05, 2018",2A Service,Scheduled Preventative Maintenance Programme,"Oct 05, 2020",
,Floating GPS # HASU-36717,,GPSS0000-0,HASU-36717,,,Offline,Offline,,
,Floating GPS # HRSE-44389,,GPSS0000-0,HRSE-44389,,,Offline,Offline,,
,Floating GPS # HRSR-40914,on,GPSS0000-0,HRSR-40914,DUSS,"Jan 15, 2016",2A Service,Scheduled Preventative Maintenance Programme,"Jan 15, 2018",
,Floating GPS # HMSN-69487,on,GPSS0000-0,HMSN-69487,DUSS,"Jan 13, 2025",2A Service,2A Service,"Jan 12, 2027",
,Floating GPS # HUSE-60220,on,GPSS0000-0,HUSE-60220,DUSS,"Jan 13, 2025",2A Service & Repairs,2A Service,"Jan 12, 2027",
,Floating GPS # HAHS-81447,on,GPSS0000-0,HAHS-81447,DUSS,"Apr 04, 2019",New,Scheduled Preventative Maintenance Programme,"Apr 04, 2021",
,Navigator Floating GPS Extension Kit - Case 2A,on,FGPS0000,2A,DUSS,"Feb 03, 2020",New,Scheduled Preventative Maintenance Programme,"Feb 03, 2022",
,Navigator Floating GPS Extension Kit - Case 2B,on,FGPS0000,2B,DUSS,"Feb 03, 2020",New,Scheduled Preventative Maintenance Programme,"Feb 03, 2022",
,Floating GPS # HAHS-81515,on,GPSS0000-0,HAHS-81515,DUSS,"Feb 03, 2020",New,Scheduled Preventative Maintenance Programme,"Feb 03, 2022",
,Floating GPS # HAHS-81481,on,GPSS0000-0,HAHS-81481,DUSS,"Feb 03, 2020",New,Scheduled Preventative Maintenance Programme,"Feb 03, 2022",
,Floating GPS # HRSE-39574,on,NAVGPSX,HRSE-39574,DUSS,"Sep 15, 2020",New,Scheduled Preventative Maintenance Programme,"Sep 15, 2022",
,Floating GPS # AHSR-113316,on,GPSS0000-0,AHSR-113316,DUSS,"Jul 27, 2021",New,Scheduled Preventative Maintenance Programme,"Jul 27, 2023",
,Floating GPS # AHSR-113272,on,GPSS0000-0,AHSR-113272,DUSS,"Jan 02, 2022",New,Scheduled Preventative Maintenance Programme,"Jan 02, 2024",
,Floating GPS # AHSR-113283,on,GPSS0000-0,AHSR-113283,DUSS,"Jan 13, 2025",2A Servce,2A Service,"Jan 12, 2027",
,Floating GPS # AHSR-113294,on,GPSS0000-0,AHSR-113294,DUSS,"Jan 02, 2022",New,Scheduled Preventative Maintenance Programme,"Jan 02, 2024",
,Floating GPS # AHSR-113305,on,GPSS0000-0,AHSR-113305,DUSS,"Jan 02, 2022",New,Scheduled Preventative Maintenance Programme,"Jan 02, 2024",
,Navigator Battery Chargers,,"NBC0003, NBC0003 (R2) (uplink)",,,,,,,
,Navigator Surface GPS.,on,P/N: NGPS0000,,,,,,,
,Surface Flip GPS #1 - HKSN-50128,on,NGPS0000,HKSN-50128,DUSS,"Jun 20, 2018",Part of 2A Service and Maintenance.,"1A Service and Check, as per Manual",,
,Surface Flip GPS #2 - HKSN-50117,on,NGPS0000,HKSN-50117,DUSS,"Jun 20, 2018",Part of 2A Service and Checks.,"1A Service and Check, as per Manual",,
,Surface Flip GPS #HKSM-50140,on,SGPS0001-0,HKSM-50140,DUSS,"Oct 16, 2020","1A Service and Check, as per Manual","1A Service and Check, as per Manual",,
,Surface Flip GPS #HKSM-50151,on,SGPS0001-0,HKSM-50151,DUSS,"May 12, 2023","1A Service and Check, as per Manual","1A Service and Check, as per Manual",,
,Surface Flip GPS #HASE-80862,on,SGPS1000,HASE_80862,DUSS,"Oct 02, 2018",New,"1A Service and Check, as per Manual",,
,Surface Flip GPS #HASE-80884,on,SGPS1000,HASE 80884,DUSS,"Oct 02, 2018",New,"1A Service and Check, as per Manual",,
,Surface Flip GPS #HASE-80895,on,SGPS1000,HASE-80895,DUSS,"Oct 02, 2018",New,"1A Service and Check, as per Manual",,
,Surface Flip GPS #HASE-80918,on,SGPS1000,HASE-80918,DUSS,"Oct 02, 2018",New,"1A Service and Check, as per Manual",,
,Surface Flip GPS #HASE-80963,on,SGPS1000,HASE-80963,DUSS,"Oct 02, 2018",New,"1A Service and Check, as per Manual",,
,Surface Flip GPS ASSM-100978,,SGPS1000,ASSM-100978,,,Offline,Offline,,
,Surface Flip GPS ASSM-101124,on,SGPS1000,ASSM-101124,DUSS,"Jan 24, 2022",New,"1A Service and Check, as per Manual",,
,Surface Flip GPS ASSM-101179,on,SGPS1000,ASSM-101179,DUSS,"Jan 24, 2022",New,"1A Service and Check, as per Manual",,
,Surface Flip GPS ASSM-101079,,SGPS1000,ASSM-101079,,,Offline,Offline,,
,Surface Flip GPS AHHS-121026,on,SGPS1000,AHHS-121026,DUSS,"Oct 07, 2022",New,"1A Service and Check, as per Manual",,
,Surface Flip GPS AHHS-120847,on,SGPS1000,AHHS-120847,DUSS,"Oct 07, 2022",New,"1A Service and Check, as per Manual",,
,Surface Flip GPSASSM-121026,on,SGPS1000,ASSM-121026,DUSS,"Jan 24, 2022",New,"1A Service and Check, as per Manual",,
,Navigator LBL Sets,on,,,,,,,,
,LBL Mobile Stations VTL-10,,VTL-10H,,,,,,,
,LBL VTL-10 #2653 (Non Operational),,VTL-10H,#2653,,,Offline,Offline,,
,LBL VLT-10 #2671 ,on,VTL-10H,#2671,DUSS,"Nov 12, 2019",2A Service,2A Service,"Nov 12, 2021",
,LBL VLT-10 #2650 ,on,VTL-10H,#2650,DUSS,"Nov 12, 2019",2A Service,2A Service,"Nov 12, 2021",
,LBL Remote Baseline Stations RBS-1H,on,RBS-1HP,,,,,,,
, LBL Transponder #2611,on,RBS-1HP,#2611,DUSS,"Nov 12, 2019",2A Service,2A Service,"Nov 12, 2021",
,LBL Transponder #2615 ,on,RBS-1HP,#2615,DUSS,"Nov 12, 2019",2A Service,2A Service,"Nov 12, 2021",
,LBL Transponder #2632,on,RBS-1HP,#2632,DUSS,"Oct 13, 2020",2A Service & Repairs.,2A Service,"Oct 13, 2022",
,LBL Transponder #2703,on,RBS-1HP,#2703,DUSS,"Oct 13, 2020",2A Service,2A Service,"Oct 13, 2022",
,LBL Transponder #2619,,RBS-1HP,#2619,,,Offline,Offline,,
,LBL Transponder #2633 ,,RBS-1HP,#2633,,,Offline,Offline,,
,LBL Transponder #2669 ,on,RBS-1HP,#2669,DUSS,"Nov 12, 2019",2A Service,2A Service,"Nov 12, 2021",
,LBL Transponder #2657 ,on,RBS-1HP,#2657,DUSS,"Nov 12, 2019",2A Service,2A Service,"Nov 12, 2021",
,LBL Transponder #2687 ,on,RBS-1HP,#2687,DUSS,"Nov 12, 2019",2A Service,2A Service,"Nov 12, 2021",
,LBL Transponder #2676 ,on,RBS-1HP,#2676,DUSS,"Nov 12, 2019",2A Service,2A Service,"Nov 12, 2021",
,LBL Transponder #2689 ,on,RBS-1HP,#2689,DUSS,"Nov 12, 2019",2A Service,2A Service,"Nov 12, 2021",
,LBL Transponder #2692 ,on,RBS-1HP,#2692,DUSS,"Nov 12, 2019",2A Service,2A Service,"Nov 12, 2021",
,LBL Charger MCU-5,on,MCU-5,,,,,,,
,LBL OUTFITS,on,NAV LBL 0000,,,,,,,
,NAV LBL System #HSSH-22565 #1,on,NAV LBL,HSSH-22565,DUSS,"Nov 15, 2019",2A Service,2A Service,"Nov 15, 2021",
,NAV LBL System #HSSH-22576 #2,on,NLBL 0000,HSSH-22576,DUSS,"Nov 20, 2019",2A Service,2A Service,"Nov 20, 2021",
,NAV LBL System #HSSH-22587 #3,on,NLBL 0000,HSSH-22587,DUSS,"Nov 20, 2019",2A Service,2A Service,"Nov 20, 2021",
,Navigator DNS,on,DNS,,,,,,,
,DNS#1 HRHS-83157,on,NAVDNS,HRSH-83157,DUSS,"May 01, 2023",2A DNS Service,2A DNS Service,"May 01, 2024",
,DNS#2 SEHA-22521,on,NAVDNS,SEHA-22521 - ' NO  LABEL',DUSS,"May 12, 2023",2A DNS Service,1A DNS Service,"May 12, 2024",
,DNS#3 HAHS-81335,on,NAVDNS,HAHS-81335,DUSS,"Nov 09, 2023",2A DNS Service,1A DNS Service,"Nov 09, 2024",
,DNS#4 HASK-78678,on,NAVDNS,SEHA-22543,DUSS,"Nov 08, 2021",2A DNS Service,1A DNS Service,"Nov 08, 2022",
,DNS#5 HRHS-44660,on,NAVDNS,HRHS-44660.,DUSS,"Nov 03, 2020",2A DNS Service,1A DNS Service,"Nov 03, 2021",
,DNS #HAHH-82662,on,NDS0001-0,HAHH-82662,DUSS,"Aug 15, 2024",2A DNS Service,1A DNS Service,"Aug 15, 2025",
,DNS #HAHH-82673,on,NDS0001-0,HAHH-82673,DUSS,"Aug 13, 2019",1A DNS Service,2A DNS Service,"Aug 13, 2020",
,DNS AHSK-115918,on,NDS0001-0,AHSN-115918,DUSS,"Jan 24, 2022",New,1A DNS Service,"Jan 24, 2023",
,DNS AHSK-114828,on,NDS0001-0,AHSK-114828,DUSS,"Jan 24, 2022",New,1A DNS Service,"Jan 24, 2023",
,DNS AHSN-115907,on,NDS0001-0,AHSN-115907,DUSS,"Jan 24, 2022",New,1A DNS Service,"Jan 24, 2023",
,DNS AHSN-115930,on,NDS0001-0,AHSN-115930,DUSS,"Jan 24, 2022",New,1A DNS Service,"Jan 24, 2023",
,Navigator Altimeter,on,,,,,,,,
,NAVIGATOR Altimeter HKSM-50128,on,NALT0001-0,HKSM-50128,DUSS,"Mar 20, 2019",2A Service,2A Service,,
,NAVIGATOR Altimeter HKSM-50117,on,NALT0001-0,HKSM-50117,DUSS,"Mar 20, 2019",2A Service,2A Service,,
,NAVIGATOR Altimeter,on,NALT0001-0,HKSM-50106,DUSS,"Mar 02, 2019",2A Service,2A Service,,
,DiveLog ToughBooks CF-54H1635VA,on,CF-54H1635VA,,,,,,,
,DiveLog Security Dongles,on,USB 905-687-6672,As listed:-,,,,,,
,Panasonic Toughbooks for DF2 Divelog,on,,,,,,,,
,Navigator LiPo Batteries,on,11116900,,,,,,,
,Navigator LiPo Battery #017,on,11116900,AHSM-117332,DUSS,"Jun 20, 2022",New,2 Year Preventative Maintenance Programme,"Jun 20, 2024",
,Navigator LiPo Battery #018,on,11116900,AHSM-117343,DUSS,"Jun 20, 2022",New,2 Year Preventative Maintenance Programme,"Jun 20, 2024",
,Navigator LiPo Battery #019,on,11116900,AHSM-117354,DUSS,"Jun 20, 2022",New,2 Year Preventative Maintenance Programme,"Jun 20, 2024",
,Navigator LiPo Battery #020,on,11116900,AHSM-117365,DUSS,"Jun 20, 2022",New,2 Year Preventative Maintenance Programme,"Jun 20, 2024",
,Navigator LiPo Battery #021,on,11116900,AHSM-117376,DUSS,"Jun 20, 2022",New,2 Year Preventative Maintenance Programme,"Jun 20, 2024",
,Navigator LiPo Battery #022,on,11116900,AHSM-117387,DUSS,"Jun 20, 2022",New,2 Year Preventative Maintenance Programme,"Jun 20, 2024",
,Navigator LiPo Battery #023,on,11116900,AHSM-117398,DUSS,"Jun 20, 2022",New,2 Year Preventative Maintenance Programme,"Jun 20, 2024",
,Navigator LiPo Battery #024,on,11116900,AHSM-117409,DUSS,"Jun 20, 2022",New,2 Year Preventative Maintenance Programme,"Jun 20, 2024",
,Navigator LiPo Battery Chargers,on,11117071,,,,,,,
,Rapid Beach Profiling System,on,NAVRBPS,,,,,,,
,Navigator Magnetometer Probe #SBHA-20428,on,SDM-4000   9600 bauds,SBHA-20428,DUSS,"Oct 05, 2018",2A Service,1A Service and Checks.,"Oct 05, 2019",
,Divelog Desktop Software,on,,,,,,,,
,MAKO DIVER DELIVERY SYSTEM,on,MAKO mk.6,,,,,,,
,MAKO#1 DDS,on,"11112568 (6 thruster model), MAKO mk.6 ",HKSU-49665,MAKO,"Aug 31, 2023",2A Service,1A Service,"Aug 31, 2024",
,MAKO Thruster (DW),on,11116009,672-PAH	,MAKO,"Aug 31, 2023",2A Service,1A Service,"Aug 31, 2024",
,MAKO Thruster (DW),on,11116009,667-PFH,MAKO,"Aug 31, 2023",2A Service,1A Service,"Aug 31, 2024",
,MAKO Thruster (DW),on,11116009,669-PFV,MAKO,"Aug 31, 2023",2A Service,1A Service,"Aug 31, 2024",
,MAKO Thruster (DW),on,11116009,675-SAH,MAKO,"Aug 31, 2023",2A Service,1A Service,"Aug 31, 2024",
,MAKO Thruster (DW),on,11116009,592-SFH,MAKO,"Aug 31, 2023",2A Service,1A Service,"Aug 31, 2024",
,MAKO Deepwater Thruster - LH Rotation,on,11116009,AHSU-116264,MAKO,"Aug 31, 2023",2A Service,1A Service,"Aug 31, 2024",
,MAKO GPS Pole,on,11113635,HKSE-51062,MAKO,"Aug 31, 2023",2A Service,1A Service,"Aug 31, 2024",
,MAKO Control Box,on,11113119,HNHA-55392,MAKO,"Aug 31, 2023",2A Service,1A Service,"Aug 31, 2024",
